Fund Holdings as of,"Mar 31, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"TOU","TOURMALINE OIL CORP","Energy","Equity","139,151,001.56","0.52","139,151,001.56","2,089,982.00","66.58","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LUN","LUNDIN MINING CORP","Materials","Equity","133,055,021.36","0.50","133,055,021.36","3,835,544.00","34.69","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BAM","BROOKFIELD ASSET MANAGEMENT VOTING","Financials","Equity","132,413,984.65","0.50","132,413,984.65","2,140,889.00","61.85","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BIP.UN","BROOKFIELD INFRASTRUCTURE PARTNERS","Utilities","Equity","131,315,138.76","0.49","131,315,138.76","2,616,882.00","50.18","Bermuda","Toronto Stock Exchange","CAD","1.00","CAD"
"FM","FIRST QUANTUM MINERALS LTD","Materials","Equity","127,713,843.38","0.48","127,713,843.38","3,839,863.00","33.26","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EMA","EMERA INC","Utilities","Equity","123,654,083.78","0.46","123,654,083.78","1,714,798.00","72.11","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BBD.B","BOMBARDIER INC CLASS B","Industrials","Equity","121,578,655.64","0.46","121,578,655.64","494,182.00","246.02","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RCI.B","ROGERS COMMUNICATIONS NON-VOTING I","Communication","Equity","117,403,610.00","0.44","117,403,610.00","2,194,460.00","53.50","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MG","MAGNA INTERNATIONAL INC","Consumer Discretionary","Equity","115,730,131.60","0.43","115,730,131.60","1,489,640.00","77.69","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GIB.A","CGI INC CLASS A","Information Technology","Equity","110,172,321.90","0.41","110,172,321.90","1,083,307.00","101.70","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WCP","WHITECAP RESOURCES INC","Energy","Equity","108,294,816.30","0.41","108,294,816.30","6,897,759.00","15.70","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MRU","METRO INC","Consumer Staples","Equity","104,680,201.34","0.39","104,680,201.34","1,099,813.00","95.18","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"H","HYDRO ONE LTD","Utilities","Equity","103,781,127.00","0.39","103,781,127.00","1,806,460.00","57.45","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GWO","GREAT WEST LIFECO INC","Financials","Equity","97,052,912.60","0.36","97,052,912.60","1,489,684.00","65.15","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TRI","THOMSON REUTERS CORP","Industrials","Equity","95,255,842.88","0.36","95,255,842.88","758,648.00","125.56","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ARX","ARC RESOURCES LTD","Energy","Equity","93,999,810.45","0.35","93,999,810.45","3,246,971.00","28.95","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TIH","TOROMONT INDUSTRIES LTD","Industrials","Equity","90,146,418.84","0.34","90,146,418.84","462,859.00","194.76","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EQX","EQUINOX GOLD CORP","Materials","Equity","89,694,135.44","0.34","89,694,135.44","4,464,616.00","20.09","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GFL","GFL ENVIRONMENTAL SUBORDINATE VOTI","Industrials","Equity","87,885,100.31","0.33","87,885,100.31","1,514,477.00","58.03","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IMG","IAMGOLD CORP","Materials","Equity","87,001,593.84","0.33","87,001,593.84","3,325,749.00","26.16","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WN","GEORGE WESTON LTD","Consumer Staples","Equity","86,901,239.88","0.33","86,901,239.88","884,221.00","98.28","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ALA","ALTAGAS LTD","Utilities","Equity","85,351,596.25","0.32","85,351,596.25","1,768,945.00","48.25","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATRL","ATKINSREALIS GROUP INC","Industrials","Equity","83,662,273.00","0.31","83,662,273.00","934,774.00","89.50","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GIL","GILDAN ACTIVEWEAR INC","Consumer Discretionary","Equity","81,519,047.02","0.31","81,519,047.02","1,052,266.00","77.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IAG","IA FINANCIAL INC","Financials","Equity","80,172,467.22","0.30","80,172,467.22","519,319.00","154.38","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AG","FIRST MAJESTIC SILVER CORP","Materials","Equity","78,522,322.20","0.29","78,522,322.20","2,633,210.00","29.82","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"X","TMX GROUP LTD","Financials","Equity","77,988,855.46","0.29","77,988,855.46","1,580,962.00","49.33","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"STN","STANTEC INC","Industrials","Equity","77,945,075.88","0.29","77,945,075.88","648,138.00","120.26","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CCL.B","CCL INDUSTRIES INC CLASS B","Materials","Equity","71,191,503.56","0.27","71,191,503.56","816,791.00","87.16","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KEY","KEYERA CORP","Energy","Equity","70,112,815.70","0.26","70,112,815.70","1,302,970.00","53.81","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EFN","ELEMENT FLEET MANAGEMENT CORP","Industrials","Equity","68,420,099.23","0.26","68,420,099.23","2,267,819.00","30.17","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TFII","TFI INTERNATIONAL INC","Industrials","Equity","66,441,278.96","0.25","66,441,278.96","438,788.00","151.42","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAE","CAE INC","Industrials","Equity","66,237,506.10","0.25","66,237,506.10","1,828,755.00","36.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"HBM","HUDBAY MINERALS INC","Materials","Equity","65,693,335.14","0.25","65,693,335.14","2,255,178.00","29.13","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","64,919,265.73","0.24","64,919,265.73","64,919,266.00","100.00","Canada","-","CAD","1.00","CAD"
"FTT","FINNING INTERNATIONAL INC","Industrials","Equity","63,991,097.28","0.24","63,991,097.28","743,391.00","86.08","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATZ","ARITZIA SUBORDINATE VOTING INC","Consumer Discretionary","Equity","62,852,164.32","0.24","62,852,164.32","553,666.00","113.52","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DPM","DPM METALS INC","Materials","Equity","61,774,065.80","0.23","61,774,065.80","1,261,210.00","48.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NXE","NEXGEN ENERGY LTD","Energy","Equity","60,478,145.58","0.23","60,478,145.58","3,747,097.00","16.14","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SAP","SAPUTO INC","Consumer Staples","Equity","59,950,245.10","0.22","59,950,245.10","1,379,435.00","43.46","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LUG","LUNDIN GOLD INC","Materials","Equity","59,864,330.41","0.22","59,864,330.41","563,111.00","106.31","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BEP.UN","BROOKFIELD RENEWABLE PARTNERS NON","Utilities","Equity","59,266,597.66","0.22","59,266,597.66","1,306,007.00","45.38","Bermuda","Toronto Stock Exchange","CAD","1.00","CAD"
"CPX","CAPITAL POWER CORP","Utilities","Equity","58,439,224.69","0.22","58,439,224.69","886,921.00","65.89","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OR","OR ROYALTIES INC","Materials","Equity","56,565,762.51","0.21","56,565,762.51","1,067,883.00","52.97","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OGC","OCEANAGOLD CORPORATION CORP","Materials","Equity","55,978,605.72","0.21","55,978,605.72","1,276,302.00","43.86","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SOBO","SOUTH BOW CORP","Energy","Equity","54,770,158.56","0.21","54,770,158.56","1,183,452.00","46.28","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ELD","ELDORADO GOLD CORP","Materials","Equity","54,546,795.51","0.20","54,546,795.51","1,141,863.00","47.77","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CTC.A","CANADIAN TIRE LTD CLASS A","Consumer Discretionary","Equity","52,637,390.04","0.20","52,637,390.04","281,363.00","187.08","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"QBR.B","QUEBECOR INC CLASS B","Communication","Equity","51,066,015.00","0.19","51,066,015.00","864,500.00","59.07","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IVN","IVANHOE MINES LTD CLASS A","Materials","Equity","50,914,061.99","0.19","50,914,061.99","4,282,091.00","11.89","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DSG","DESCARTES SYSTEMS GROUP INC","Information Technology","Equity","48,705,426.96","0.18","48,705,426.96","488,814.00","99.64","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BTO","B2GOLD CORP","Materials","Equity","48,090,510.56","0.18","48,090,510.56","7,609,258.00","6.32","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SSRM","SSR MINING INC","Materials","Equity","47,246,581.44","0.18","47,246,581.44","1,156,304.00","40.86","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FSV","FIRSTSERVICE SUBORDINATE VOTING CO","Real Estate","Equity","45,252,523.28","0.17","45,252,523.28","233,839.00","193.52","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GMIN","G MINING VENTURES CORP","Materials","Equity","44,946,572.38","0.17","44,946,572.38","920,659.00","48.82","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OTEX","OPEN TEXT CORP","Information Technology","Equity","44,150,634.00","0.17","44,150,634.00","1,424,214.00","31.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PSK","PRAIRIESKY ROYALTY LTD","Energy","Equity","42,501,617.20","0.16","42,501,617.20","1,319,926.00","32.20","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CIGI","COLLIERS INTERNATIONAL GROUP SUBOR","Real Estate","Equity","37,442,926.23","0.14","37,442,926.23","251,751.00","148.73","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CS","CAPSTONE COPPER CORP","Materials","Equity","37,330,228.01","0.14","37,330,228.01","3,558,649.00","10.49","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EMP.A","EMPIRE LTD CLASS A","Consumer Staples","Equity","36,636,162.09","0.14","36,636,162.09","735,223.00","49.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CSH.UN","CHARTWELL RETIREMENT RESIDENCES RE","Health Care","Equity","36,261,813.24","0.14","36,261,813.24","1,802,277.00","20.12","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CU","CANADIAN UTILITIES LTD CLASS A","Utilities","Equity","35,955,683.12","0.13","35,955,683.12","735,892.00","48.86","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DFY","DEFINITY FINANCIAL CORP","Financials","Equity","35,161,122.57","0.13","35,161,122.57","536,893.00","65.49","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NPI","NORTHLAND POWER INC","Utilities","Equity","34,687,651.26","0.13","34,687,651.26","1,486,189.00","23.34","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EFR","ENERGY FUELS INC","Energy","Equity","34,391,740.17","0.13","34,391,740.17","1,348,167.00","25.51","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OLA","ORLA MINING LTD","Materials","Equity","34,233,303.14","0.13","34,233,303.14","1,530,322.00","22.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TXG","TOREX GOLD RESOURCES INC","Materials","Equity","33,948,151.10","0.13","33,948,151.10","531,686.00","63.85","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AQN","ALGONQUIN POWER UTILITIES CORP","Utilities","Equity","33,758,199.60","0.13","33,758,199.60","3,962,230.00","8.52","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ONEX","ONEX CORP","Financials","Equity","33,350,944.32","0.13","33,350,944.32","328,516.00","101.52","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KNT","K92 MINING INC","Materials","Equity","32,724,498.84","0.12","32,724,498.84","1,386,044.00","23.61","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DSV","DISCOVERY SILVER CORP","Materials","Equity","32,011,261.32","0.12","32,011,261.32","3,580,678.00","8.94","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TVE","TAMARACK VALLEY ENERGY LTD","Energy","Equity","31,798,374.00","0.12","31,798,374.00","2,765,076.00","11.50","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
