iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 22, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,097,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"COP","CONOCOPHILLIPS","Energy","Equity","1,923,446,634.80","0.25","1,923,446,634.80","15,688,798.00","122.60","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,895,150,945.40","0.24","1,895,150,945.40","7,598,841.00","249.40","United States","NYSE","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","1,875,026,614.80","0.24","1,875,026,614.80","10,347,829.00","181.20","United States","NASDAQ","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","1,872,398,536.71","0.24","1,872,398,536.71","3,228,329.00","579.99","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,859,205,507.72","0.24","1,859,205,507.72","13,663,596.00","136.07","United States","NASDAQ","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","1,852,365,996.00","0.24","1,852,365,996.00","10,325,340.00","179.40","United States","NASDAQ","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","1,850,512,793.04","0.24","1,850,512,793.04","1,890,072.00","979.07","United States","NASDAQ","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,788,356,319.97","0.23","1,788,356,319.97","8,130,001.00","219.97","United States","NASDAQ","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","1,784,409,564.70","0.23","1,784,409,564.70","8,935,451.00","199.70","United States","NYSE","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,761,278,721.18","0.22","1,761,278,721.18","7,183,322.00","245.19","United States","NYSE","USD","1.00","USD","-"
